Pathways	Pathways ID
&gamma;-glutamyl cycle (plant pathway)	PWYQT-4470
cytokinin-<i>O</i>-glucosides biosynthesis	PWY-2902
santalene biosynthesis I	PWY-6254
glycine betaine biosynthesis III (plants)	PWY1F-353
abscisic acid degradation by glucosylation	PWY-5272
rot-2'-enonate biosynthesis	PWY-6427
heme degradation I	PWY-5874
Organic Nitrogen Assimilation	PWY4LZ-81
CDP-diacylglycerol biosynthesis IV	PWYQT-4482
luteolin biosynthesis	PWY-5060
nevadensin biosynthesis	PWY-7298
dimethylsulfoniopropanoate biosynthesis I (Wollastonia)	PWY-6054
simplecoumarins biosynthesis	PWY-5868
UTP and CTP <i>de novo</i> biosynthesis	PWY-7176
L-arginine biosynthesis I (via L-ornithine)	ARGSYN-PWY
morphine biosynthesis	PWY-5270
L-cysteine biosynthesis I	CYSTSYN-PWY
nonaprenyl diphosphate biosynthesis II	PWY-6520
choline degradation I	CHOLINE-BETAINE-ANA-PWY
hypusine biosynthesis	PWY-5905
Fe(III)-phytosiderophore transport	PWY-5937
cinnamoyl-CoA biosynthesis	PWY-6457
podophyllotoxin glucosides metabolism	PWY-7491
&beta;-carotene biosynthesis (engineered)	PWY-7393
"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)"	PWY-5070
quercetin gentiotetraside biosynthesis	PWY-7137
L-tryptophan degradation VI (via tryptamine)	PWY-3181
valencene and 7-epi-&alpha;-selinene biosynthesis	PWY-6291
salicortin biosynthesis	PWY-6763
aloenin biosynthesis	PWY-6310
superpathway of bitter acids biosynthesis	PWY-5134
pyruvate fermentation to acetate VII	PWY-5600
trichloroethene degradation	PWY-5822
methylsalicylate degradation	PWY18C3-24
bergamotene biosynthesis II	PWY-6244
leucodelphinidin biosynthesis	PWY-5152
allantoin degradation to ureidoglycolate I (urea producing)	PWY-5697
crepenynate biosynthesis	PWY-6013
stachyose degradation	PWY-6527
hydroxycinnamic acid tyramine amides biosynthesis	PWY-5474
L-methionine salvage cycle II (plants)	PWY-7270
superpathway of pterocarpan biosynthesis (via formononetin)	PWY-2229
(<i>S</i>)-reticuline biosynthesis I	PWY-3581
betaxanthin biosynthesis (via dopaxanthin)	PWY-5404
amygdalin and prunasin degradation	PWY-6011
heliannuol and heliespirone biosynthesis	PWY-5865
chrysoeriol biosynthesis	PWY-6232
canavanine biosynthesis	PWY-5
myricetin gentiobioside biosynthesis	PWY-7140
4-hydroxybenzoate biosynthesis IV (plants)	PWY-6431
tea aroma glycosidic precursor bioactivation	PWY-7114
pyrimidine nucleobases salvage I	PWY-7183
palmitate biosynthesis II (type II fatty acid synthase)	PWY-5971
glutathione-peroxide redox reactions	PWY-4081
petroselinate biosynthesis	PWY-5367
caffeine degradation II	PWY-6553
coenzyme A biosynthesis II (eukaryotic)	PWY-7851
superpathway of choline biosynthesis	PWY-4762
homophytochelatin biosynthesis	PWY-6841
pentose phosphate pathway (oxidative branch) I	OXIDATIVEPENT-PWY
malate-oxaloacetate shuttle II	PWY-7048
UDP-&beta;-L-rhamnose biosynthesis	PWY-3261
jasmonoyl-amino acid conjugates biosynthesis II	PWY-6233
&alpha;-tomatine biosynthesis	PWY18C3-3
labdane-type diterpenes biosynthesis	PWY-6645
sphingolipid biosynthesis (plants)	PWY-5129
neoabietic acid biosynthesis	PWY-5413
glutamate removal from folates	PWY-2161B
chlorophyll <i>a</i> biosynthesis III	PWY-7764
leucopelargonidin and leucocyanidin biosynthesis	PWY1F-823
chorismate biosynthesis from 3-dehydroquinate	PWY-6163
superpathway of linalool biosynthesis	PWY2OL-4
casbene biosynthesis	PWY-6304
melibiose degradation	PWY0-1301
jasmonoyl-L-isoleucine inactivation	PWY-7859
(-)-medicarpin biosynthesis	PWY-2463
brassinosteroid biosynthesis III	PWY-2602
L-ascorbate degradation III	PWY-6960
L-ornithine biosynthesis II	ARGININE-SYN4-PWY
superpathway of methylsalicylate metabolism	PWY18C3-25
nitrate reduction II (assimilatory)	PWY-381
taxiphyllin biosynthesis	PWY-7088
mangrove triterpenoid biosynthesis	PWY-6109
superpathway of isoflavonoids (via naringenin)	PWY-3097
aucuparin biosynthesis	PWY-7739
<i>trans</i>-zeatin biosynthesis	PWY-2681
nitric oxide biosynthesis I (plants)	PWY-6845
colupulone and cohumulone biosynthesis	PWY-5133
ginsenosides biosynthesis	PWY-5672
cuticular wax biosynthesis	PWY-282
D-<i>myo</i>-inositol-5-phosphate metabolism	PWY-6367
"phenylpropanoid biosynthesis, initial reactions"	PWY1F-467
NAD(P)/NADPH interconversion	PWY-5083
superpathway of coenzyme A biosynthesis II (plants)	PWY-4221
trehalose biosynthesis I	TRESYN-PWY
shikonin biosynthesis	PWY-5701
<i>S</i>-methyl-5'-thioadenosine degradation I	PWY-6754
abscisic acid degradation to phaseic acid	PWY-5271
furaneol and mesifurane biosynthesis	PWY-5975
"fatty acid &beta;-oxidation IV (unsaturated, even number)"	PWY-5138
choline biosynthesis III	PWY-3561
rotenoid biosynthesis I	PWY-5775
phosphopantothenate biosynthesis II	PWY-3961
naringenin <i>C</i>-glucosylation	PWY-6602
galloylated catechin biosynthesis	PWY-7448
(+)-pisatin biosynthesis	PWY-2467
phenylphenalenone biosynthesis	PWY-6438
"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"	PWY-5464
cardenolide glucosides biosynthesis	PWY-6036
glyoxylate cycle	GLYOXYLATE-BYPASS
S-adenosyl-L-methionine biosynthesis	SAM-PWY
terminal olefins biosynthesis I	PWY-7026
ubiquinol-9 biosynthesis (late decarboxylation)	PWY-5871
geranylgeranyl diphosphate biosynthesis	PWY-5120
GDP-L-fucose biosynthesis II (from L-fucose)	PWY-6
superpathway of polyamine biosynthesis II	POLYAMINSYN3-PWY
