NER Evaluation Details
========================================

--- anatomical_structures ---

[False Negatives (1): Entities missed by the pipeline]
  - Entity: 'hypocotyl', Type: anatomical_structures, Span: (27965, 27974)

[False Positives (1): Entities incorrectly predicted by the pipeline]
  - Entity: 'beet hypocotyl', Type: anatomical_structures, Span: (27960, 27974)

[True Positives (4): Entities correctly predicted]
  - Entity: 'hypocotyl', Type: anatomical_structures, Span: (32152, 32161)
  - Entity: 'leaf', Type: anatomical_structures, Span: (26648, 26652)
  - Entity: 'leaf', Type: anatomical_structures, Span: (30879, 30883)
  - Entity: 'leaves', Type: anatomical_structures, Span: (29627, 29633)

========================================

--- compounds ---

[False Negatives (45): Entities missed by the pipeline]
  - Entity: 'anthocyanin', Type: compounds, Span: (782, 793)
  - Entity: 'anthocyanin', Type: compounds, Span: (3577, 3588)
  - Entity: 'anthocyanin', Type: compounds, Span: (3751, 3762)
  - Entity: 'anthocyanin', Type: compounds, Span: (30775, 30786)
  - Entity: 'anthocyanin', Type: compounds, Span: (52281, 52292)
  - Entity: 'anthocyanin', Type: compounds, Span: (52425, 52436)
  - Entity: 'betacyanin', Type: compounds, Span: (26944, 26954)
  - Entity: 'betalain', Type: compounds, Span: (244, 252)
  - Entity: 'betalain', Type: compounds, Span: (754, 762)
  - Entity: 'betalain', Type: compounds, Span: (1625, 1633)
  - Entity: 'betalain', Type: compounds, Span: (5215, 5223)
  - Entity: 'betalain', Type: compounds, Span: (5506, 5514)
  - Entity: 'betalain', Type: compounds, Span: (5870, 5878)
  - Entity: 'betalain', Type: compounds, Span: (26453, 26461)
  - Entity: 'betalain', Type: compounds, Span: (28352, 28360)
  - Entity: 'betalain', Type: compounds, Span: (33238, 33246)
  - Entity: 'betalain', Type: compounds, Span: (35044, 35052)
  - Entity: 'betalain', Type: compounds, Span: (37905, 37913)
  - Entity: 'betalain', Type: compounds, Span: (40246, 40254)
  - Entity: 'betalain', Type: compounds, Span: (40535, 40543)
  - Entity: 'betalain', Type: compounds, Span: (40633, 40641)
  - Entity: 'betalain', Type: compounds, Span: (41049, 41057)
  - Entity: 'betalain', Type: compounds, Span: (41263, 41271)
  - Entity: 'betalain', Type: compounds, Span: (41464, 41472)
  - Entity: 'betalain', Type: compounds, Span: (42191, 42199)
  - Entity: 'betalain', Type: compounds, Span: (44918, 44926)
  - Entity: 'betalain', Type: compounds, Span: (45052, 45060)
  - Entity: 'betalain', Type: compounds, Span: (45567, 45575)
  - Entity: 'betalain', Type: compounds, Span: (45776, 45784)
  - Entity: 'betalain', Type: compounds, Span: (46995, 47003)
  - Entity: 'betalain', Type: compounds, Span: (49048, 49056)
  - Entity: 'betalain', Type: compounds, Span: (49204, 49212)
  - Entity: 'betalain', Type: compounds, Span: (53880, 53888)
  - Entity: 'betalain', Type: compounds, Span: (54099, 54107)
  - Entity: 'betalain', Type: compounds, Span: (54341, 54349)
  - Entity: 'betalain', Type: compounds, Span: (54495, 54503)
  - Entity: 'betalain', Type: compounds, Span: (54555, 54563)
  - Entity: 'betalain', Type: compounds, Span: (54978, 54986)
  - Entity: 'betalain', Type: compounds, Span: (55164, 55172)
  - Entity: 'betalain', Type: compounds, Span: (55448, 55456)
  - Entity: 'betalain', Type: compounds, Span: (55636, 55644)
