Compound: l-DOPA | pathways: betalain biosynthesis
Compound: l-DOPA | pathways: flavonoid pathway
Compound: l-DOPA | pathways: anthocyanin pathway
Compound: l-DOPA | pathways: betalamic acid biosynthesis
Compound: l-DOPA | pathways: caffeine biosynthesis
Compound: l-DOPA | genes: DODA
Compound: l-DOPA | genes: DODAbeta
Compound: l-DOPA | genes: DODAalpha
Compound: l-DOPA | genes: LigB
Compound: l-DOPA | genes: BvDODA2
Compound: l-DOPA | genes: BvDODAalpha2
Compound: l-DOPA | genes: BvDODA1
Compound: l-DOPA | genes: BvDODAalpha1
Compound: l-DOPA | genes: DODA alpha
Compound: l-DOPA | genes: MjcDOPA-5GT
Compound: l-DOPA | genes: BvDODAalpha3
Compound: l-DOPA | genes: BvCYP76AD1
Compound: l-DOPA | genes: firefly luciferase
Compound: l-DOPA | genes: CgDODAalpha1
Compound: l-DOPA | genes: ShDODAalpha1
Compound: l-DOPA | genes: McDODAalpha1
Compound: l-DOPA | genes: DODAalpha1
Compound: l-DOPA | genes: ShDODAalpha2
Compound: l-DOPA | genes: CgDODAalpha2
Compound: l-DOPA | genes: BvDODAalpha4
Compound: l-DOPA | genes: BvDODAalpha5
Compound: l-DOPA | genes: KcDODAalpha1
Compound: l-DOPA | genes: KcDODAalpha2
Compound: l-DOPA | genes: MaDODAalpha
Compound: l-DOPA | genes: McDODAalpha2
Compound: l-DOPA | genes: McDODA alpha 1
Compound: l-DOPA | genes: McCYP76AD1
Compound: l-DOPA | genes: BvDODA alpha 1
Compound: l-DOPA | genes: MYB
Compound: l-DOPA | genes: CYP76AD1
Compound: l-DOPA | genes: MjDODA alpha 1
Compound: l-DOPA | genes: PmDOD
Compound: l-DOPA | genes: CgDODA1
Compound: l-DOPA | genes: PgDODA
Compound: l-DOPA | genes: CqDODA-1
Compound: l-DOPA | genes: BvDODAalpha2-5
Compound: l-DOPA | genes: PmDODAalpha2
Compound: l-DOPA | genes: PmDODAalpha1
Compound: l-DOPA | genes: PgDODAalpha1
Compound: l-DOPA | genes: PhybDODAalpha
Compound: l-DOPA | genes: CYP76AD
Compound: l-DOPA | genes: ADHalpha
Compound: l-DOPA | molecular_traits: l-DOPA 4,5-dioxygenase activity
Compound: l-DOPA | molecular_traits: 4,5-dioxygenase activity
Compound: l-DOPA | molecular_traits: DODA activity
Compound: l-DOPA | molecular_traits: catalytic promiscuity
Compound: l-DOPA | molecular_traits: tyrosine hydroxylase activity
Compound: l-DOPA | species: Gluconacetobacter diazotrophicus
Compound: l-DOPA | species: Nicotiana benthamiana
Compound: l-DOPA | species: Beta vulgaris
Compound: l-DOPA | species: Parakeelya mirabilis
Compound: l-DOPA | species: S. arvensis
Compound: l-DOPA | species: S. marina
Compound: l-DOPA | species: K. caespitosa
Compound: l-DOPA | species: C. litoralis
Compound: l-DOPA | species: T. imperati
Compound: l-DOPA | species: M. australis
Compound: l-DOPA | species: L. aethiopicum
Compound: l-DOPA | species: P. exiguum
Compound: l-DOPA | species: P. tetraphyllum
Compound: l-DOPA | species: C. ramosissimum
Compound: l-DOPA | species: P. campestris
Compound: l-DOPA | species: M. crystallinum
Compound: l-DOPA | species: C. gigantea
Compound: l-DOPA | species: S. halimifolium
Compound: l-DOPA | species: C. quinoa
Compound: l-DOPA | species: A. hypochondriacus
Compound: l-DOPA | species: Dianthus superbus
Compound: l-DOPA | species: Portulaca grandiflora
Compound: l-DOPA | species: Ptilotus hybrid
Compound: l-DOPA | species: Mirabilis jalapa
Compound: l-DOPA | plant_traits: betalain pigmentation
Compound: l-DOPA | plant_traits: anthocyanin pigmentation
Compound: l-DOPA | plant_traits: pigment gain
Compound: l-DOPA | plant_traits: pigmentation state
Compound: l-DOPA | plant_traits: betacyanin pigmentation
Compound: l-DOPA | anatomical_structures: leaf
Compound: l-DOPA | anatomical_structures: hypocotyl
Compound: tyrosine | pathways: betalain biosynthesis
Compound: tyrosine | pathways: flavonoid pathway
Compound: tyrosine | pathways: anthocyanin pathway
Compound: tyrosine | pathways: betalamic acid biosynthesis
Compound: tyrosine | pathways: caffeine biosynthesis
Compound: tyrosine | genes: DODA
Compound: tyrosine | genes: DODAbeta
Compound: tyrosine | genes: DODAalpha
Compound: tyrosine | genes: LigB
Compound: tyrosine | genes: BvDODA2
Compound: tyrosine | genes: BvDODAalpha2
Compound: tyrosine | genes: BvDODA1
Compound: tyrosine | genes: BvDODAalpha1
Compound: tyrosine | genes: DODA alpha
Compound: tyrosine | genes: MjcDOPA-5GT
Compound: tyrosine | genes: BvDODAalpha3
Compound: tyrosine | genes: BvCYP76AD1
Compound: tyrosine | genes: firefly luciferase
Compound: tyrosine | genes: CgDODAalpha1
Compound: tyrosine | genes: ShDODAalpha1
Compound: tyrosine | genes: McDODAalpha1
Compound: tyrosine | genes: DODAalpha1
Compound: tyrosine | genes: ShDODAalpha2
Compound: tyrosine | genes: CgDODAalpha2
Compound: tyrosine | genes: BvDODAalpha4
Compound: tyrosine | genes: BvDODAalpha5
Compound: tyrosine | genes: KcDODAalpha1
Compound: tyrosine | genes: KcDODAalpha2
Compound: tyrosine | genes: MaDODAalpha
Compound: tyrosine | genes: McDODAalpha2
Compound: tyrosine | genes: McDODA alpha 1
Compound: tyrosine | genes: McCYP76AD1
Compound: tyrosine | genes: BvDODA alpha 1
Compound: tyrosine | genes: MYB
Compound: tyrosine | genes: CYP76AD1
Compound: tyrosine | genes: MjDODA alpha 1
Compound: tyrosine | genes: PmDOD
Compound: tyrosine | genes: CgDODA1
Compound: tyrosine | genes: PgDODA
Compound: tyrosine | genes: CqDODA-1
Compound: tyrosine | genes: BvDODAalpha2-5
Compound: tyrosine | genes: PmDODAalpha2
Compound: tyrosine | genes: PmDODAalpha1
Compound: tyrosine | genes: PgDODAalpha1
Compound: tyrosine | genes: PhybDODAalpha
Compound: tyrosine | genes: CYP76AD
Compound: tyrosine | genes: ADHalpha
Compound: tyrosine | molecular_traits: l-DOPA 4,5-dioxygenase activity
Compound: tyrosine | molecular_traits: 4,5-dioxygenase activity
Compound: tyrosine | molecular_traits: DODA activity
Compound: tyrosine | molecular_traits: catalytic promiscuity
Compound: tyrosine | molecular_traits: tyrosine hydroxylase activity
Compound: tyrosine | species: Gluconacetobacter diazotrophicus
Compound: tyrosine | species: Nicotiana benthamiana
Compound: tyrosine | species: Beta vulgaris
Compound: tyrosine | species: Parakeelya mirabilis
Compound: tyrosine | species: S. arvensis
Compound: tyrosine | species: S. marina
Compound: tyrosine | species: K. caespitosa
Compound: tyrosine | species: C. litoralis
Compound: tyrosine | species: T. imperati
Compound: tyrosine | species: M. australis
Compound: tyrosine | species: L. aethiopicum
Compound: tyrosine | species: P. exiguum
Compound: tyrosine | species: P. tetraphyllum
Compound: tyrosine | species: C. ramosissimum
Compound: tyrosine | species: P. campestris
Compound: tyrosine | species: M. crystallinum
Compound: tyrosine | species: C. gigantea
Compound: tyrosine | species: S. halimifolium
Compound: tyrosine | species: C. quinoa
Compound: tyrosine | species: A. hypochondriacus
Compound: tyrosine | species: Dianthus superbus
Compound: tyrosine | species: Portulaca grandiflora
Compound: tyrosine | species: Ptilotus hybrid
Compound: tyrosine | species: Mirabilis jalapa
Compound: tyrosine | plant_traits: betalain pigmentation
Compound: tyrosine | plant_traits: anthocyanin pigmentation
Compound: tyrosine | plant_traits: pigment gain
Compound: tyrosine | plant_traits: pigmentation state
Compound: tyrosine | plant_traits: betacyanin pigmentation
Compound: tyrosine | anatomical_structures: leaf
Compound: tyrosine | anatomical_structures: hypocotyl
Compound: betalamic acid | pathways: betalain biosynthesis
Compound: betalamic acid | pathways: flavonoid pathway
Compound: betalamic acid | pathways: anthocyanin pathway
Compound: betalamic acid | pathways: betalamic acid biosynthesis
Compound: betalamic acid | pathways: caffeine biosynthesis
Compound: betalamic acid | genes: DODA
Compound: betalamic acid | genes: DODAbeta
Compound: betalamic acid | genes: DODAalpha
Compound: betalamic acid | genes: LigB
Compound: betalamic acid | genes: BvDODA2
Compound: betalamic acid | genes: BvDODAalpha2
Compound: betalamic acid | genes: BvDODA1
Compound: betalamic acid | genes: BvDODAalpha1
Compound: betalamic acid | genes: DODA alpha
Compound: betalamic acid | genes: MjcDOPA-5GT
Compound: betalamic acid | genes: BvDODAalpha3
Compound: betalamic acid | genes: BvCYP76AD1
Compound: betalamic acid | genes: firefly luciferase
Compound: betalamic acid | genes: CgDODAalpha1
Compound: betalamic acid | genes: ShDODAalpha1
Compound: betalamic acid | genes: McDODAalpha1
Compound: betalamic acid | genes: DODAalpha1
Compound: betalamic acid | genes: ShDODAalpha2
Compound: betalamic acid | genes: CgDODAalpha2
Compound: betalamic acid | genes: BvDODAalpha4
