Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
TAG	NIL			tuberonic acid glucosyltransferase
94P1				geraniol glucoside 6'-<i>O</i>-xylosyltransferase
GGPS1	AT4G36810	17343378	17344869	geranylgeranyl pyrophosphate synthase
oxidase	NIL			oxidase
NAD1a	ATMG01120	287917	289083	NAD1b
GGR		5129848	5133289	geranylgeranyl reductase
ATPvC		3006421	3010091	187322
NP-GAPDH	AT2G24270	10334130	10337021	glyceraldehyde-3-phosphate dehydrogenase (NADP+)//3-chloroallyl aldehyde dehydrogenase
SIP2	AT3G57520	21299742	21304135	raffinose &alpha;-galactosidase
Lj6g0027183	Lj6g0027183			Lj6g0027183.1
Glyma.14G002500	Glyma.14G002500			Glyma.14G002500
AT3G50440	AT3G50440	18728292	18729475	methylesterase
Cnx7	AT4G10100	6308679	6309542	MPT synthase small subunit
Lj5g0003262	Lj5g0003262			Lj5g0003262.1
Glyma.02G104600	Glyma.02G104600			Glyma.02G104600
Lj1g0022600	Lj1g0022600			Lj1g0022600.1
g-myr	NIL			myrcene synthase
AT2G45790	AT2G45790	18862849	18865092	phosphomannomutase
GA3ox1	NIL			gibberellin 3-oxidase
PsbI	ATCG00080	7583	7693	PsbI
GA2ox4	AT1G47990	17702324	17704503	C19 gibberellin 2-oxidase
CYP82N2v2	NIL			allocryptopine 6-hydroxylase / protopine-6-hydroxylase
HISN6A	AT5G10330	3247848	3250136	histidinol-phosphate transaminase
AT4G18480	AT4G18480	10201683	10203480	magnesium chelatase//ATPase
SSTLE1	NIL			germacrene C synthase
GA2ox8	AT4G21200	11302695	11306611	C-20 gibberellin 2-oxidase
KAT1	AT5G46240			potassium channel
MASL1	NIL			oryzalexin B synthase
AT5G61580	AT5G61580	24778305	24781240	6-phosphofructokinase
4CL5	AT3G21230	7448046	7452006	4-coumarate-CoA ligase
ASAT4				sucrose acetyltransferase
5-GT	NIL			betanidin 5-O-glucosyltransferase
ATP15		1937614	1938439	133544
GSTU24	AT1G17170	5869839	5870833	glutathione transferase
SPLCAT1	NIL			SPLCAT1 subunit 1
BARS1	AT4G15370			baruol synthase
ASN1	AT3G47340	17448869	17452228	asparagine synthase (glutamine-hydrolyzing)
PsaH1				Photosystem I reaction center subunit VI-1
L33686	NIL			phospholipase D
AF030516	NIL			CYC subunits
pIFRalf1	NIL			isoflavone reductase
CYP720B1	NIL			abietadienol/abietadienal oxidase
LUT2	AT5G57030	23094491	23097279	lycopene epsilon cyclase
CCD1	AT3G63520	23463886	23467053	carotenoid cleavage dioxygenase
BG1	AT1G52400	19518820	19521880	abscisic acid glucose ester &beta;-glucosidase
AT4G04955	AT4G04955	2522032	2525278	allantoinase
CA2	AT5G14740	4757975	4762618	carbonate dehydratase
GAME1				tomatidine 3-<i>O</i>-galactosyltransferase
nad4		1713	3044	ChrepMp02
IFR	NIL			isoflavone reductase
GS52	NIL			ecto apyrase
PDCHSX	NIL			PDCHSX subunit
HSP90B		1054335	1062359	97057
TPS-Myr	NIL			myrcene synthase
DTC2	NIL			stemar-13-ene synthase
CCD7	AT2G44990	18566013	18568408	9-cis-epoxycarotenoid dioxygenase
Cre01.g015350	Cre01.g015350			light-dependent NADPH:protochlorophyllide oxidoreductase
<i>cis</i>ZOG2	NIL			cis-zeatin-O-glucosyltransferase
PLR-Fi1	NIL			PLR subunit
AT5G08100	AT5G08100	2593051	2594652	asparaginase
AT2G23170	AT2G23170	9870935	9873642	indole-3-acetic acid amido synthetase
AT3G25110	AT3G25110	9146281	9148493	acyl-ACP thioesterase
CYP98A35	NIL			p-coumaroyl ester 3'-hydroxylase
AOAT1	AT1G23310	8268393	8271922	alanine transaminase
Cre03.g154350	Cre03.g154350	822739	825343	Cre03.g154350.t1.1
UCGT				calycosin 7-<i>O</i>-glucosyltransferase
PsbR		1628731	1629616	10 kDa photosystem II polypeptide
Glyma.02G104800	Glyma.02G104800			Glyma.02G104800
Lj3g0000963	Lj3g0000963			Lj3g0000963.1
ATP9A		158550	159949	195724
Seita.9G262400	Seita.9G262400			Seita.9G262400.1.p
IDH-VI	AT3G09810	3008699	3011442	NAD+-dependent isocitrate dehydrogenase catalytic subunit
3GT	NIL			flavonoid 3-<i>O</i>-glucosyltransferase
AT5G66040	AT5G66040			sulfurtransferase
cMDH	NIL			malate dehydrogenase (NAD)
AT16	NIL			benzoyltransferase
AT2G37250	AT2G37250	15648985	15650865	adenylate kinase//nucleotide kinase
TSC10A	AT3G06060	1827986	1830206	3-ketodihydrosphinganine reductase
CYP719A24				pluviatolide synthase
GA3ox1	AT1G15550	5344473	5346161	gibberellin 3-oxidase
CHL27	AT3G56940	21087523	21089422	magnesium protoporphyrin IX monomethyl ester cyclase
Soltu.DM.07G021510	Soltu.DM.07G021510			Soltu.DM.07G021510.1
Igl				indole-3-glycerol phosphate lyase
C2'H	IbF6H2-1-1			4-coumaroyl 2'-hydroxylase
ACO	AT1G12010	4056205	4057931	1-aminocyclopropane-1-carboxylate oxidase
TAS	NIL			taraxerol synthase
ANS/FLS				anthocyanidin synthase/flavonol synthase
CYP71CA1				parthenolide synthase
Lj4g0021591	Lj4g0021591			Lj4g0021591.1
AtNSP1	AT3G16400			nitrile-specifier protein
XylT	AT5G55500	22499386	22501857	glycoprotein 2-beta-D-xylosyltransferase [multifunctional]
Hf2	NIL			flavanone,NADPH:oxygen oxidoreductase / flavonoid 3',5'-hydroxylase
SIP1	AT5G40390	16178743	16182585	galactinol-sucrose galactosyltransferase//ghydrolase, hydrolyzing O-glycosyl compounds
PFOMT	NIL			PFOMT subunit
PsaL				Photosystem I reaction center subunit XI
KASII	AT1G74960	28155639	28159888	3-ketoacyl-ACP synthase subunit
GmCK2	NIL			choline kinase
LE4CL-1	NIL			4-coumarate coenzyme A ligase
AT4G26220	AT4G26220	13283585	13285332	O-methyltransferase
UF3GT2	NIL			flavonol 3-<i>O</i>-glucosyltransferase
AOAT2	AT1G70580	26616295	26619732	alanine transaminase
GAO1	NIL			germacrene A oxidase
AT3G07270	AT3G07270	2314004	2317194	GTP cyclohydrolase I
AT5G58560	AT5G58560			prenyl alcohol kinase
SPSA1	AT5G20280	6844716	6850156	sucrose-phosphate synthase
AT2G37090	AT2G37090	15594473	15596336	transferase, transferring glycosyl groups
AB426519				PAR
AT1G49340.2	AT1G49340.2	18256023	18268130	1-phosphatidylinositol 4-kinase//inositol or phosphatidylinositol kinase
salAT	NIL			salutaridinol-7-O-acetyltransferase
Ids3	NIL			mugineic acid synthase
CYP79E1	NIL			tyrosine N-monooxygenase
Cre01.g043350	Cre01.g043350			Cre01.g043350.t1.2
ATPvL2	Cre12.g529100	84197	86280	192558
GUN5	AT5G13630	4387337	4392230	magnesium chelatase
CYP90B1	AT3G50660	18825121	18828225	steroid 22&alpha;-hydroxylase
CYP726A1	NIL			Delta12-linoleate epoxygenase
Seita.7G233500	Seita.7G233500			Seita.7G233500.1.p
CNX5		322661	324791	117925
AT1G16460	AT1G16460	5619576	5622657	3-mercaptopyruvate sulfurtransferase
AT5G66690	AT5G66690	26642306	26644019	UDP-glycosyltransferase//coniferyl-alcohol glucosyltransferase
OsNAS1	NIL			nicotianamine synthase
ABC4	AT1G60600	22328310	22331024	prenyltransferase
GlcAK	AT3G01640			glucuronokinase
IPK1	AT5G42810	17184046	17186687	inositol pentakisphosphate 2-kinase//inositol tetrakisphosphate 2-kinase
ODC	NIL			ornithine decarboxylase
QCR6		683933	685580	81617
AT4G04870	AT4G04870	2461672	2464141	cardiolipin synthase
SDH5	AT1G47420.1	17397958	17399695	complex II subunit 5
AT3G45300	AT3G45300	16631188	16636033	isovaleryl-CoA dehydrogenase
AT5G13050	AT5G13050	4136559	4138795	5-formyltetrahydrofolate cyclo-ligase
SAX1				SAX1
Pavir.2KG192900	Pavir.2KG192900			Pavir.2KG192900.1.p
Glyma.03G032700	Glyma.03G032700			Glyma.03G032700
HI4'OMT	NIL			2,7,4'-trihydroxyisoflavanone-4'-O-methyltransferase
CA08g10750	CA08g10750			CA08g10750
CSD3	AT5G18100	5987189	5988887	copper, zinc superoxide dismutase
Soltu.DM.07G021490	Soltu.DM.07G021490			Soltu.DM.07G021490.1
FOMT4	NIL			flavonoid 6-<i>O</i>-methyltransferase
AT3G48780	AT3G48780	18100079	18104073	serine C-palmitoyltransferase
UGT73J1	NIL			quercetin-7-<i>O</i>-glucosyltransferase
CYP79D1	NIL			valine <i>N</i>-monooxygenase (oxime forming)
ATCG00150	ATCG00150			ATP synthase subunit a
OsDMAS1	NIL			deoxymugineic acid synthase
AADC2	NIL			phenylalanine decarboxylase
AT3G10050	AT3G10050	3098730	3101766	threonine deaminase
AT4G16690	AT4G16690	9392169	9393551	methylesterase
HPR3	AT1G12550	4274592	4275979	glyoxylate reductase (NADP+) [multifunctional]
AT4G39800	AT4G39800	18469342	18471961	inositol-3-phosphate synthase
AT5G13930	AT5G13930	4488690	4490266	naringenin-chalcone synthase
AT2G43080	AT2G43080	17922638	17925831	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors//procollagen-proline 4-dioxygenase
AADC1A	NIL			aromatic amino acid decarboxylase
PsbQ-1	AT4G21280	11334412	11335783	PSII-Q subunit
AA7BG-GT2	NIL			anthocyanin 7-<i>O</i>-(6-<i>O</i>-(p-hydroxybenzoyl)-glucoside) glucosyltransferase (acyl-glucose dependent)
AT5G08530	AT5G08530	2759318	2761876	NADH-ubiquinone oxidoreductase 51 kDa subunit
AT1G64400	AT1G64400	23919261	23923446	long-chain-fatty-acid-CoA ligase
PAO1	AT5G13700	4420072	4423036	polyamine oxidase
FINS1	AT1G43670	16470484	16472940	fructose-1,6-bisphosphatase
